Row.names	RESPIRATORY CHAIN COMPLEX I	HALLMARK GLYCOLYSIS	AltEJ	Sample_Name	IC50	TCGA	Cancer_Type
1240121	0.897454378289542	0.835341006487951	-0.756475790834284	BICR22	0.477555332198981	HNSC	HNSC
1240122	0.483442760573315	-0.0318725049655641	0.627353728030239	BICR78	-1.54865882940221	HNSC	HNSC
1240123	-0.113706899667193	0.66556884174952	0.81489200698971	CCK-81	-0.8970349004003	COREAD	COAD/READ
1240127	1.791156329361	-0.552691676910706	0.629926983026664	EN	0.234194226464401	UCEC	UCEC
1240128	0.192768933786231	0.329641972637008	-0.0543921358228382	ES-2	0.423643603835548	UNCLASSIFIED	
1240130	1.66211452870165	0.788645438515178	-1.2636842640668	G-MEL	0.424566250470635	SKCM	SKCM
1240131	-0.806269895111331	0.368674303741138	-0.891071365210572	NCI-H2591	0.964010015979615	MESO	MESO
1240132	-1.15702434526958	1.07215968865947	0.14953885705677	NCI-H2595	0.848679192727761	MESO	MESO
1240134	-0.332377912164023	0.0195353085123586	0.347684209534412	NCI-H2731	0.985912952662072	MESO	MESO
1240135	0.868272531513614	0.337378363437901	-0.53810199824983	NCI-H2803	0.477810511881479	MESO	MESO
1240136	0.207686045319622	0.416770912065665	-0.379131414588335	NCI-H2804	0.623393720996005	MESO	MESO
1240137	-1.50025102915355	0.946821558010163	-0.224774234843957	NCI-H2810	0.530173434763312	MESO	MESO
1240138	0.373856497585907	0.346218398733548	-1.77039324082179	NCI-H2869	0.825088873072202	MESO	MESO
1240140	0.170457982833374	1.14488569810479	-0.75199607323251	NCI-H3118	0.733848459204129	UNCLASSIFIED	
1240141	0.635593096579396	-0.195769652106779	-1.35920310990342	NCI-H513	0.586260786027547	MESO	MESO
1240142	1.45483604862767	-0.149305584985512	0.405199441220271	HARA	0.714644299711948	LUSC	LUSC
1240143	1.34012737461834	0.420677192738114	-0.0511370736778563	HCC-15	-0.128005816376216	LUSC	LUSC
1240144	-1.28878755821313	1.21170789756514	0.242275613800902	HCC-366	1.73912575669676	UNCLASSIFIED	
1240145	0.330167055335822	0.547349232984584	0.670247307701795	HCC-44	0.513989850665779	LUAD	LUAD
1240146	-0.105647430314959	1.21828828857827	-1.94927057080064	HCC-827	0.837347299990965	LUAD	LUAD
1240147	1.80480553219188	0.150555870243597	0.391434570430436	Hep3B2-1-7	0.242240945637437	LIHC	LIHC
1240151	-0.726667688687277	0.808221755092678	-1.8350243650952	Hs-746T	1.29672989093277	STAD	STAD
1240153	0.737595519870527	0.448537903833372	0.0648403380170036	IGR-37	0.255258752226957	SKCM	SKCM
1240154	0.0255432784849492	-0.395239736429108	-0.140646237910162	IHH-4	0.0714471271173658	THCA	THCA
1240155	0.80160189754068	-0.189208811707841	0.334710689820014	IM-95	0.139735556683609	STAD	STAD
1240157	-0.776142535708513	0.921290608183232	-1.01150815190615	JHH-2	-0.154801463462652	LIHC	LIHC
1240158	0.208317895107922	0.449163279868454	0.697055283619999	JHH-4	-0.39115210877389	LIHC	LIHC
1240159	1.49651726839016	0.372773813630526	-1.43525088173959	JHH-6	0.328182597039299	LIHC	LIHC
1240160	-0.551624070085865	0.309778289525061	-1.60401920429052	JHH-7	-1.68045674192269	LIHC	LIHC
1240162	-1.88683976195614	0.0849506498299265	0.817002558020454	JHU-022	0.841207565980157	HNSC	HNSC
1240166	-0.956933894651256	-1.94969684301108	-2.27696608950763	KYM-1	0.124176097719029	UNCLASSIFIED	
1240167	0.567680521217329	0.894221306619697	-0.114743468672327	KYSE-220	1.25553563196012	ESCA	ESCA
1240168	0.00858665841027865	1.06460690280512	0.621198977782659	LN-18	0.158410141236866	GBM	GBM
1240169	0.264037019623416	0.601051495854941	0.604718957483159	LN-229	0.579091603076844	GBM	GBM
1240172	1.83108549064332	0.672525623997452	0.672873755360883	MDA-MB-436	-0.35294580958781	BRCA	BRCA
1240173	0.886019804911724	-0.148966286900077	-0.296832676547427	MDST8	0.0762336254140516	COREAD	COAD/READ
1240174	1.1727739563417	0.78156133564078	-1.09014339814678	MFE-319	-0.224739895522126	UCEC	UCEC
1240179	-0.823777062861129	0.555956266628304	0.6807251000867	MS751	0.101007387879307	CESC	CESC
1240181	-0.552583628740996	-0.674569175351121	0.328676054817977	NB(TU)1-10	0.968980747552761	NB	NB
