tcga	n	corr	lower.ci	upper.ci	pval	color
TCGA-ACC (79)	79	-0.0846968941247001	-0.300185610661069	0.139016928358319	0.458003500900769	grey
TCGA-BLCA (411)	411	0.185743946565163	0.090643235811383	0.277487646312541	0.000152385106439981	red
TCGA-BRCA (1097)	1097	0.340032725349904	0.286613327975953	0.391344331928664	4.28385229398289e-31	red
TCGA-CESC (304)	304	0.144016331339497	0.0320431554439642	0.252419253980357	0.0119443620339645	red
TCGA-CHOL (36)	36	0.414079145135587	0.0990131338533111	0.653687383768452	0.0120516361793441	red
TCGA-COAL (469)	469	0.590428488017842	0.528116858353087	0.646415820131771	2.12185702896408e-45	red
TCGA-DLBC (48)	48	-0.00791733320423089	-0.291396508899522	0.276840141454404	0.957407004481611	grey
TCGA-ESCA (161)	161	0.25703132066512	0.106594260617935	0.395964111507582	0.000996804337194972	red
TCGA-GBM (155)	155	-0.0670973661988594	-0.222393175077612	0.0915189363647757	0.406805155274608	grey
TCGA-HNSC (500)	500	0.300362698152947	0.218425208022676	0.378094657603364	6.95874692358076e-12	red
TCGA-KICH (65)	65	-0.164181699321501	-0.392368880355238	0.083042756132788	0.191253439771822	grey
TCGA-KIRC (534)	534	0.385429491376399	0.310741283063478	0.455387206195197	2.34329330049945e-20	red
TCGA-KIRP (288)	288	0.0664805795816759	-0.0494790286838928	0.180671758232143	0.260779439891177	grey
TCGA-LGG (511)	511	0.00283069854189903	-0.0839307171546323	0.0895495184083726	0.949103807961938	grey
TCGA-LIHC (371)	371	0.0437347531544598	-0.0583411886503073	0.144905656196547	0.400936339311891	grey
TCGA-LUAD (524)	524	0.424457800953768	0.351583458719156	0.49221893945096	2.47772650227658e-24	red
TCGA-LUSC (501)	501	0.325264686337513	0.244632323434977	0.401429254472329	8.25452112052018e-14	red
TCGA-MESO (86)	86	0.112267451942904	-0.1020349445406	0.316611626982292	0.303409868837507	grey
TCGA-OV (374)	374	0.21324406322629	0.114309426182777	0.307990476434867	3.20957843429296e-05	red
TCGA-PAAD (177)	177	0.314955219288517	0.175612900942277	0.441925687947763	1.95742499065379e-05	red
TCGA-PCPG (178)	178	0.275893451073708	0.134256860313681	0.406483178439759	0.000193346865161022	red
TCGA-PRAD (498)	498	0.468468089601815	0.396940594501451	0.534339857075374	1.56288942149867e-28	red
TCGA-READ (166)	166	0.396179858562277	0.259519502946816	0.517284918850098	1.26620332525983e-07	red
TCGA-SARC (259)	259	0.0497082509903298	-0.0726204301174462	0.170563511418999	0.425682399936522	grey
TCGA-SKCM (103)	103	0.226070273600627	0.034034629781103	0.402007059617795	0.0216659396522109	red
TCGA-STAD (375)	375	0.262476022220705	0.165607012272985	0.354328582316486	2.51548513314641e-07	red
TCGA-TGCT (150)	150	0.254730241968134	0.0984893932794893	0.398714849545686	0.00165657491128324	red
TCGA-THCA (502)	502	0.388901026837476	0.312004488928246	0.460735519219214	1.42359119186317e-19	red
TCGA-THYM (119)	119	0.657644936431614	0.541781814248276	0.748981211116771	4.48131645253792e-16	red
TCGA-UCEC (547)	547	0.310878520229076	0.233118693652556	0.384688045927308	1.0120256961639e-13	red
TCGA-UCS (56)	56	0.060417192508878	-0.205751435583683	0.318262533617671	0.658251855293179	grey
TCGA-UVM (80)	80	0.339088000005512	0.128980591653261	0.520058768992141	0.00209187817603973	red
Summary (9724)	9724	0.250811801443619	0.181773039985238	0.317390078538965	4.15643392476816e-12	black
